init github.com/carapace-sh/carapace-bin/completers/common/batdiff_completer/cmd @3.7 ms, 0.016 ms clock, 10424 bytes, 83 allocs
init github.com/carapace-sh/carapace-bin/completers/common/batgrep_completer/cmd @3.7 ms, 0.026 ms clock, 13440 bytes, 107 allocs
init github.com/carapace-sh/carapace-bin/completers/common/bats_completer/cmd @3.8 ms, 0.012 ms clock, 7880 bytes, 61 allocs
init github.com/carapace-sh/carapace-bin/completers/common/bc_completer/cmd @3.8 ms, 0.008 ms clock, 8248 bytes, 65 allocs
init github.com/carapace-sh/carapace-bin/completers/common/black_completer/cmd @3.8 ms, 0.020 ms clock, 14464 bytes, 112 allocs
init github.com/carapace-sh/carapace-bin/completers/common/brotli_completer/cmd @3.9 ms, 0.034 ms clock, 16304 bytes, 123 allocs
init github.com/carapace-sh/carapace-bin/completers/common/btop_completer/cmd @3.9 ms, 0.017 ms clock, 8904 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cal_completer/cmd @3.9 ms, 0.48 ms clock, 13408 bytes, 98 allocs
init github.com/carapace-sh/carapace-bin/completers/common/calibre_completer/cmd @4.4 ms, 0.022 ms clock, 10456 bytes, 78 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cargo-fmt_completer/cmd @4.5 ms, 0.017 ms clock, 9584 bytes, 71 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cargo-set-version_completer/cmd @4.5 ms, 0.018 ms clock, 10704 bytes, 79 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cat_completer/cmd @4.5 ms, 0.024 ms clock, 10168 bytes, 82 allocs
init github.com/carapace-sh/carapace-bin/completers/common/chcpu_completer/cmd @4.6 ms, 0.026 ms clock, 9368 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/chpasswd_completer/cmd @4.6 ms, 0.017 ms clock, 9200 bytes, 65 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cksum_completer/cmd @4.7 ms, 0.031 ms clock, 12880 bytes, 94 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamav-config_completer/cmd @4.7 ms, 0.006 ms clock, 8664 bytes, 59 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamav-milter_completer/cmd @4.7 ms, 0.006 ms clock, 8552 bytes, 57 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clambc_completer/cmd @4.8 ms, 0.012 ms clock, 11432 bytes, 87 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamconf_completer/cmd @4.8 ms, 0.013 ms clock, 9064 bytes, 64 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamd_completer/cmd @4.8 ms, 0.012 ms clock, 9256 bytes, 67 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamdscan_completer/cmd @4.8 ms, 0.016 ms clock, 14752 bytes, 117 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamonacc_completer/cmd @4.9 ms, 0.022 ms clock, 13944 bytes, 110 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamscan_completer/cmd @4.9 ms, 0.049 ms clock, 34136 bytes, 259 allocs
init github.com/carapace-sh/carapace-bin/completers/common/clamsubmit_completer/cmd @4.9 ms, 0.009 ms clock, 10928 bytes, 80 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cmus_completer/cmd @5.0 ms, 0.009 ms clock, 7344 bytes, 53 allocs
init github.com/carapace-sh/carapace-bin/completers/common/comm_completer/cmd @5.0 ms, 0.020 ms clock, 9624 bytes, 78 allocs
init github.com/carapace-sh/carapace-bin/completers/common/conda-content-trust_completer/cmd @5.0 ms, 0.037 ms clock, 44488 bytes, 305 allocs
init github.com/carapace-sh/carapace-bin/completers/common/consul_completer/cmd @5.1 ms, 1.2 ms clock, 1326400 bytes, 9084 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cp_completer/cmd @6.4 ms, 0.034 ms clock, 29784 bytes, 169 allocs
init github.com/carapace-sh/carapace-bin/completers/common/csplit_completer/cmd @6.4 ms, 0.009 ms clock, 9256 bytes, 73 allocs
init github.com/carapace-sh/carapace-bin/completers/common/csview_completer/cmd @6.4 ms, 0.008 ms clock, 10480 bytes, 78 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cura_completer/cmd @6.4 ms, 0.010 ms clock, 8056 bytes, 63 allocs
init github.com/carapace-sh/carapace-bin/completers/common/cut_completer/cmd @6.5 ms, 0.016 ms clock, 9616 bytes, 77 allocs
init github.com/carapace-sh/carapace-bin/completers/common/darktable-cli_completer/cmd @6.5 ms, 0.025 ms clock, 11088 bytes, 87 allocs
init github.com/carapace-sh/carapace-bin/completers/common/darktable_completer/cmd @6.5 ms, 0.014 ms clock, 15080 bytes, 114 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dc_completer/cmd @6.6 ms, 0.017 ms clock, 8920 bytes, 64 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dd_completer/cmd @6.6 ms, 0.005 ms clock, 6880 bytes, 49 allocs
init github.com/carapace-sh/carapace-bin/completers/common/df_completer/cmd @6.6 ms, 0.031 ms clock, 14320 bytes, 110 allocs
init github.com/carapace-sh/carapace-bin/completers/common/diff3_completer/cmd @6.7 ms, 0.027 ms clock, 17672 bytes, 107 allocs
init github.com/carapace-sh/carapace-bin/completers/common/diff_completer/cmd @6.7 ms, 0.061 ms clock, 33120 bytes, 226 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dig_completer/cmd @6.8 ms, 0.043 ms clock, 14104 bytes, 101 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dir_completer/cmd @6.8 ms, 0.045 ms clock, 29632 bytes, 194 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dircolors_completer/cmd @6.9 ms, 0.011 ms clock, 8352 bytes, 65 allocs
init github.com/carapace-sh/carapace-bin/completers/common/dirname_completer/cmd @6.9 ms, 0.010 ms clock, 7208 bytes, 50 allocs
